"MassTagID","Project_A_X_1","Project_A_X_2","Project_A_X_3","Project_B_X_1","Project_B_X_2","Project_B_X_3","Project_C_X_1","Project_C_X_2","Project_C_X_3","Project_A_Y_1","Project_A_Y_2","Project_A_Y_3","Project_B_Y_1","Project_B_Y_2","Project_B_Y_3","Project_C_Y_1","Project_C_Y_2","Project_C_Y_3"
248148596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,934913,1361131,674429,18655091,19749840,23060210
484430630,NA,NA,1698172,NA,NA,NA,NA,NA,NA,NA,3803180,545829,7813232,13675745,11488752,25509581.5,88994109.5,6301377
484430631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,873481,1416870,42589422,26250397.5,37254765
484430632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180507,NA,5556563.5,5814908.5,4899211.5,1621783,30699171.5,745423
484430642,NA,NA,NA,NA,NA,NA,NA,NA,NA,865783,807205,1296703,14380406,21434835,15688762,249486784,237390873,270662482
484430646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5618412,3764590,14648940
484430650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1767678,3180518,1434805,27251891,23549123,38849229
484430654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13055151,14637099,14163390,219373507,161080042,139585664
484430655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3107802
484430660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7344958,12437290,7185640.5,102617492,92481821,116993511.5
484430661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4773519,7836502.5
484430664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13420874,11454184,NA,155847379,117200097,127024883
484430665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3294663,3629957,2085963,31972297,28851474,25341261
484430685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4382783,3848370,3192353.5,77956910.5,52891775.5,62819007.5
484430690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8230416,11989865,6536424,119879178,129103366.5,137624468
484430697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2481892.5,2029424,4945240.5
484430698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2107233,4876906,1687057,51487285,46895129,54158015
484430703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9479423,9437558,9070149
484430709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9462453,NA,12143777,180395554,177924238,182828886
484430718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484430741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427109,383433,377063
484430771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30127
484430904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802634,1487420,544121,10315908,8606458,8717457.5
484431062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484431118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15548966,21969016,14067186.5,216760856,208609639,193768656
484431552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8558325,8869864,12454445
484432161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200142,2097410,NA
484432164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7576584,5934566,4658150
484432167,NA,NA,NA,NA,NA,897329,NA,NA,NA,NA,NA,NA,1480925,NA,NA,NA,NA,NA
484432169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550168,NA,10239219.5,NA
484432177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822945,734716,271955
484432386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484434325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
