"Metabolite","Sample_1_Phenotype2_B","Sample_2_Phenotype3_B","Sample_3_Phenotype2_A","Sample_4_Phenotype1_B","Sample_5_Phenotype2_B","Sample_6_Phenotype2_B","Sample_7_Phenotype1_B","Sample_8_Phenotype2_B","Sample_9_Phenotype2_B","Sample_10_Phenotype3_A","Sample_11_Phenotype3_A","Sample_12_Phenotype2_B","Sample_13_Phenotype1_A","Sample_14_Phenotype3_B","Sample_15_Phenotype2_A","Sample_16_Phenotype2_A","Sample_17_Phenotype1_B","Sample_18_Phenotype1_A","Sample_19_Phenotype1_B","Sample_20_Phenotype3_A","Sample_21_Phenotype3_B","Sample_22_Phenotype1_A","Sample_23_Phenotype2_A","Sample_24_Phenotype3_A","Sample_25_Phenotype1_A","Sample_26_Phenotype2_B","Sample_27_Phenotype1_A","Sample_28_Phenotype2_B","Sample_29_Phenotype1_B","Sample_30_Phenotype2_A","Sample_31_Phenotype1_B","Sample_32_Phenotype1_A","Sample_33_Phenotype3_A","Sample_34_Phenotype3_B","Sample_35_Phenotype2_A","Sample_36_Phenotype3_B","Sample_37_Phenotype1_B","Sample_38_Phenotype2_A","Sample_39_Phenotype2_B","Sample_40_Phenotype3_A","Sample_41_Phenotype1_A","Sample_42_Phenotype3_B","Sample_43_Phenotype1_B","Sample_44_Phenotype2_B","Sample_45_Phenotype1_A","Sample_46_Phenotype1_A","Sample_47_Phenotype3_A","Sample_48_Phenotype2_B","Sample_49_Phenotype3_A","Sample_50_Phenotype3_B"
"2,3-dihydroxybutanoic acid*",240299.269214032,225772.570006424,228934.7611742,224837.110386146,299694.83493817,367465.192561812,313844.64692469,190993.229566152,437754.536783919,256987.218292754,531787.598028376,271931.969678919,278356.435461653,509565.551428592,356430.2806044,343891.567010742,247937.997765857,389093.589694932,1049240.48238472,239352.03155912,263077.404018915,282940.73984491,153046.345767702,212526.003411317,220631.85008172,174936.74974493,437727.090051944,273152.1623208,224233.140274273,235924.271459037,303988.691378157,274969.065799548,301501.57815042,258863.197346724,224191.330898279,426607.942834225,565574.592566307,188389.713367345,253020.834253856,315855.712634066,391451.438837436,298942.195158658,279727.10838573,233298.656443616,551299.72452395,309432.36741946,217839.437545742,229889.397758833,238271.209260664,242580.933197897
"2,5-dihydroxypyrazine*",2200320.35306451,2259914.3324871,2370216.62066654,1731513.91863349,2839508.57433781,2037210.65120097,1732501.76990923,1787635.77372164,2075170.10230249,2969205.20249053,1930820.64876258,2673971.20315146,2510899.74034956,1631461.6179382,1643532.71722593,1977367.26811059,2149558.19030226,2255775.13529865,3410953.95724421,2016876.46294909,1890070.79781758,1564926.58266337,1761605.26297446,995600.337331845,1460317.90139193,2872412.25556184,2023565.73654219,1946109.37667575,2000480.33892797,2414089.08407057,1740709.24603122,3132218.33290357,2544178.65468857,2313823.65264612,2960509.79185399,2694588.47348368,3437178.67858443,1495219.16961182,2161767.15616672,2262700.27210068,2871615.68230832,1630450.28713072,2054356.55172896,1397587.66254462,2851697.71694494,2738236.23497903,1852043.19214433,2311591.83403377,1546932.87781351,1323015.38530507
"2-hydroxyglutaric acid",114794.773976639,143007.777712377,125073.533369352,95744.17657902,166476.634317202,178562.278278406,98760.632518539,80647.1809924891,150645.582146682,142175.184446966,128374.517765499,190378.325618453,168642.001540544,128228.167479116,173015.40453103,217039.1848505,143617.574205849,123616.107735665,126154.121861905,138672.71629939,152646.977891382,110177.893071216,124101.491454426,127737.351308399,151688.107058689,172540.894701319,224958.515380342,149673.861282761,123363.84224475,184440.360529012,217937.1315495,149008.605172021,185940.073317738,223446.321590491,190687.217224519,151307.178779534,178292.535689291,114782.691097935,187718.945960574,134742.058216261,143083.863953681,159869.037440444,156047.739674241,128158.403450127,221873.642716081,135651.559502984,198416.404137024,256899.375064736,123372.579695574,182035.529774214
"2-hydroxypyridine",341890.904452289,445863.817201284,385314.236697194,427323.782368335,459950.242703228,402153.707359771,358002.380450001,371323.902834402,411290.055507887,370121.796876289,390639.910031903,284313.932835375,332603.146177392,424343.576555307,396272.977245412,640148.487929133,422012.340436866,411558.573089842,365595.245601999,265918.448865446,285525.793297871,383537.43390944,475144.379685203,309279.457590483,389364.538420986,453913.958611799,483589.867172062,349392.007201946,323346.786538365,341354.572230902,413605.610165034,399185.870898184,433697.559086083,306569.357887794,278786.382867658,331444.174423652,437358.941027281,367145.723933119,418688.333192627,314212.479636416,523284.285796746,403633.783589549,476177.532276402,280486.684956422,406045.359297504,388604.968545454,376369.332239695,395812.414323232,338883.603354317,355588.843349534
"3-hydroxybutyric acid",3335903.85560007,7087814.39441727,15279486.6207866,6147681.37680227,1434975.35736829,8298196.34440279,6531420.95585921,13255783.0114044,2362301.8040887,12344440.2769869,5558263.96947842,2734713.15092858,3343587.24296263,2871697.53406309,2319501.99646868,5246825.00773146,10045320.6260647,2785121.70978208,1517935.28053328,4434512.08426941,3728542.44188274,3486337.97027436,7810967.32360764,1352585.87278775,2630376.75538242,2515620.06038766,1659006.17538329,5095479.99275962,2232194.23884622,1652449.30258921,1586675.2386231,4896513.94511801,1556998.32352281,2401609.06180205,3705179.8940357,1831375.19230173,6914454.83062775,4584716.69617107,1674471.25137501,2850552.97427959,9197782.40767194,3995195.27632196,1816045.53639004,1073061.17913824,6809694.93244406,4409508.59124367,7579644.99340139,3190943.73107248,1989860.06389555,4888200.91333643
"3-hydroxypyridine",499389.588706533,546153.24732502,482845.21792559,538068.466234806,654858.555912298,600828.171852911,495302.718252356,489182.516783312,509437.394172107,616939.894909888,612983.883748432,507486.559171918,487583.84745195,552412.073149773,551891.58068752,732359.009441555,629198.653620744,667147.676878408,549981.008063854,480919.410975508,483599.446052328,563318.114445158,627047.481967578,441316.53769736,524913.134326588,398354.47516494,393892.010850781,261721.532768419,300294.273267434,319222.192709074,473343.694707308,369822.118366926,369081.739704272,273335.135941283,315784.30642128,268568.603995046,433266.010597415,281051.290106767,356129.4178373,287886.393023841,440824.791133606,379264.657931392,441919.969719784,286640.136556722,356569.76295936,369847.683455704,351224.38255127,374115.95060428,290111.288244612,310205.356834456
"3-phosphoglyceric acid",3978987.31061956,6812224.81262444,7411715.76875787,5718525.35869802,11016510.71215,7817886.97019712,5907259.50961162,5681890.50994982,10857386.1781779,11352559.3859063,7928481.55009848,9450964.46824059,5729662.67059141,8391762.98095977,7492047.22649716,12195782.9630292,9775304.91740662,23365562.0338079,12228131.1607111,8005326.74602412,5909163.70629018,7219671.29392377,17683906.6741091,6912534.59607833,7211761.09140055,7816687.71954649,5921537.27380742,4816640.01392987,13936978.4284468,6908226.72722296,5888914.17506524,7118660.0613268,6090798.74980619,4281555.31538647,7016539.05430558,5344946.36713122,14354704.8455085,2432967.06107853,8509837.32481579,4871135.5407338,9320650.47070989,6579112.92484462,8263128.98701997,6150608.67830367,5484356.08454264,9000221.78840687,8964335.79571062,9885629.2113322,5489169.89072327,5054288.03947533
"4-aminobutyric acid (GABA)",614286,606283,808845,638707,625852,695001,654236,633486,550233,831110,1079985,544739,1010856,740122,642911,700172,696121,767809,582437,996122,561294,610738,806589,760499,529855,584628,694721,534735,1021083,1058652,675889,651905,729387,1006538,648208,802667,705540,720159,622202,751534,569933,1061983,555502,833038,757476,547288,798386,614758,887465,1063322
"4-hydroxy-L-proline",2438830,8170517,3299550,9921915,428120,2414548,1431848,2428860,7829419,1730859,1703555,2750966,1741381,7125092,1260825,1296425,8847639,1294989,1633417,2118887,1741855,1374803,2080227,674611,1589413,7294103,1376452,1839811,1697362,2360747,993486,9087543,2716324,1380326,2861437,699130,1913932,746296,2520924,997720,9057374,1611066,1383856,403119,1714693,2270122,1994948,904578,1159546,3775455
"5-methyl-2,4-dihydroxypyridmidine*",339113.533810624,242013.312361804,182656.881024683,106559.975979234,213451.967380173,190868.73437181,404718.270353741,150704.731299162,416486.459070876,358632.23778324,298766,322912.654085,825712.73759637,149306.185036799,247005,193372.166081155,166662.589161505,183052.593174929,316984.921845909,91937.8445568366,159789.95355403,77429.3355729394,216584,144541.736201807,151751.595477577,87841.6389265022,463426.290905066,496984.59275393,300361.024982501,192887.079039788,208197.562231866,205209.305990043,143936.197748066,195129.065134068,249873.264220944,449744.96734621,520300.044562304,114886.765901205,237612.794352012,234581.175036936,351331.009026003,380907.483778645,494648.283422217,227638.464346172,351280,274189.24515985,109023.047924823,226250.921791665,242214.82414923,102782.553403745
